
---------- Begin Simulation Statistics ----------
simSeconds                                   0.077263                       # Number of seconds simulated (Second)
system.cpu0.statIssuedInstType_0::MemRead     15736285     12.32%     89.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite      5285138      4.14%     93.42% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead      8402973      6.58%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite           35      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total     127678453                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        0.551324                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                            1129237                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.008844                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               344219615                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               53396594                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       53231855                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                143756614                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                72052768                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses        71876747                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   56928460                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                    71878832                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                        127675471                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                     24138488                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                     2982                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          29423568                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                       7906952                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                     5285080                       # Number of stores executed (Count)
system.cpu0.numRate                          0.551311                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                            555                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                          95204                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                      436926                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                  124935094                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                    124935234                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              1.853643                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         1.853643                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              0.539478                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         0.539478                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                  86840585                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                 51066459                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                  100192410                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                  62957653                       # Number of floating regfile writes (Count)
system.cpu0.miscRegfileReads                195675448                       # number of misc regfile reads (Count)
system.cpu0.miscRegfileWrites                63438940                       # number of misc regfile writes (Count)
system.cpu0.MemDepUnit__0.insertedLoads      21581517                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      5287437                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads      4719443                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores      3146168                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                7919409                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted          3711555                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect             1729                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups             5809151                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                5807306                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999682                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                2102803                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                10                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups            390                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits                54                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses             336                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          105                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts         243261                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            650                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts             1260                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples    231457481                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     0.539776                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     1.370938                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0      172705531     74.62%     74.62% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1       32839111     14.19%     88.80% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2       15407082      6.66%     95.46% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3        2504849      1.08%     96.54% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        1891092      0.82%     97.36% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5         713540      0.31%     97.67% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6           4578      0.00%     97.67% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7         525708      0.23%     97.90% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8        4865990      2.10%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total    231457481                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted           124935094                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted             124935234                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   26798787                       # Number of memory references committed (Count)
system.cpu0.commit.loads                     21529358                       # Number of loads committed (Count)
system.cpu0.commit.amos                           184                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        290                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                   7889068                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                  71827610                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                   79321512                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls              2097761                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass          299      0.00%      0.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu     34697029     27.77%     27.77% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult           57      0.00%     27.77% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv          122      0.00%     27.77% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd     14155794     11.33%     39.10% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            6      0.00%     39.10% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt     17825825     14.27%     53.37% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult     28311577     22.66%     76.03% # Class of committed instruction (Count)
